date,player,prop,platform,line,actual
2022-10-18,Anthony Davis,assists,MockBooks,7.0,2.956630973306364
2022-10-18,Anthony Davis,points,MockBooks,26.0,21.40625395162924
2022-10-18,Anthony Davis,rebounds,MockBooks,6.5,7.575237349450153
2022-10-18,Damian Lillard,assists,MockBooks,9.5,6.5357208793432715
2022-10-18,Damian Lillard,points,MockBooks,28.0,38.163146749034816
2022-10-18,Damian Lillard,rebounds,MockBooks,6.0,1.7426805307658206
2022-10-18,Devin Booker,assists,MockBooks,9.0,10.126886375436932
2022-10-18,Devin Booker,points,MockBooks,23.0,22.991269247864878
2022-10-18,Devin Booker,rebounds,MockBooks,10.0,7.797031433763765
2022-10-18,Giannis Antetokounmpo,assists,MockBooks,10.5,8.683882356110859
2022-10-18,Giannis Antetokounmpo,points,MockBooks,19.5,21.163673749236153
2022-10-18,Giannis Antetokounmpo,rebounds,MockBooks,8.5,2.8036811922557945
2022-10-18,Jayson Tatum,assists,MockBooks,9.5,5.350256016162825
2022-10-18,Jayson Tatum,points,MockBooks,25.5,32.81893756952775
2022-10-18,Jayson Tatum,rebounds,MockBooks,7.5,6.976360992491077
2022-10-18,Joel Embiid,assists,MockBooks,7.0,7.24744448919126
2022-10-18,Joel Embiid,points,MockBooks,21.5,30.30287337444826
2022-10-18,Joel Embiid,rebounds,MockBooks,11.0,13.505507253011242
2022-10-18,Kawhi Leonard,assists,MockBooks,7.0,6.369892458222278
2022-10-18,Kawhi Leonard,points,MockBooks,19.0,19.326222187273316
2022-10-18,Kawhi Leonard,rebounds,MockBooks,10.5,8.604095810587882
2022-10-18,Kevin Durant,assists,MockBooks,5.0,3.2399094621095657
2022-10-18,Kevin Durant,points,MockBooks,25.5,18.105352997275105
2022-10-18,Kevin Durant,rebounds,MockBooks,8.5,4.286739837045118
2022-10-18,LeBron James,assists,MockBooks,8.0,12.32215482348558
2022-10-18,LeBron James,points,MockBooks,22.0,21.56181468354982
2022-10-18,LeBron James,rebounds,MockBooks,6.5,5.608273348099028
2022-10-18,Luka Doncic,assists,MockBooks,6.0,8.409736925887653
2022-10-18,Luka Doncic,points,MockBooks,23.0,21.415040748913825
2022-10-18,Luka Doncic,rebounds,MockBooks,4.5,5.750132334797722
2022-10-18,Nikola Jokic,assists,MockBooks,11.0,10.317526823199444
2022-10-18,Nikola Jokic,points,MockBooks,24.0,30.459708258462456
2022-10-18,Nikola Jokic,rebounds,MockBooks,4.5,10.40205179861934
2022-10-18,Shai Gilgeous-Alexander,assists,MockBooks,3.5,4.885195943711274
2022-10-18,Shai Gilgeous-Alexander,points,MockBooks,20.5,21.296870791149786
2022-10-18,Shai Gilgeous-Alexander,rebounds,MockBooks,10.5,8.356696094946454
2022-10-18,Stephen Curry,assists,MockBooks,7.0,3.610111734667391
2022-10-18,Stephen Curry,points,MockBooks,29.0,30.397810329328138
2022-10-18,Stephen Curry,rebounds,MockBooks,6.0,6.501714144675316
2022-10-19,Giannis Antetokounmpo,assists,MockBooks,8.5,6.32366324075546
2022-10-19,Giannis Antetokounmpo,points,MockBooks,17.0,20.90293386968079
2022-10-19,Giannis Antetokounmpo,rebounds,MockBooks,9.0,9.079537615706466
2022-10-19,Jayson Tatum,assists,MockBooks,7.5,15.155610519249665
2022-10-19,Jayson Tatum,points,MockBooks,27.5,23.300882978084303
2022-10-19,Jayson Tatum,rebounds,MockBooks,6.5,4.837890545191379
2022-10-19,Kawhi Leonard,assists,MockBooks,10.0,7.850265947522658
2022-10-19,Kawhi Leonard,points,MockBooks,19.0,12.532534675547993
2022-10-19,Kawhi Leonard,rebounds,MockBooks,12.0,12.817744901090432
2022-10-19,Kyrie Irving,assists,MockBooks,10.0,11.886248663191754
2022-10-19,Kyrie Irving,points,MockBooks,15.5,18.432084067530035
2022-10-19,Kyrie Irving,rebounds,MockBooks,11.0,11.47225450784647
2022-10-19,LeBron James,assists,MockBooks,10.0,6.945047987364363
2022-10-19,LeBron James,points,MockBooks,25.5,25.27824657869055
2022-10-19,LeBron James,rebounds,MockBooks,7.5,6.131136158730777
2022-10-19,Nikola Jokic,assists,MockBooks,9.5,7.734096708531215
2022-10-19,Nikola Jokic,points,MockBooks,25.5,28.552942323645443
2022-10-19,Nikola Jokic,rebounds,MockBooks,4.5,3.6532877116058264
2022-10-19,Shai Gilgeous-Alexander,assists,MockBooks,5.0,3.3643416488637072
2022-10-19,Shai Gilgeous-Alexander,points,MockBooks,22.0,23.219256753233527
2022-10-19,Shai Gilgeous-Alexander,rebounds,MockBooks,11.0,13.258775550161532
2022-10-19,Stephen Curry,assists,MockBooks,8.0,6.5898816264788
2022-10-19,Stephen Curry,points,MockBooks,27.0,32.37509275353072
2022-10-19,Stephen Curry,rebounds,MockBooks,7.0,3.2736962805645957
2022-10-20,Anthony Davis,assists,MockBooks,7.5,8.865444848069096
2022-10-20,Anthony Davis,points,MockBooks,26.0,29.491564818203653
2022-10-20,Anthony Davis,rebounds,MockBooks,7.5,9.975082880486982
2022-10-20,Damian Lillard,assists,MockBooks,9.5,7.317958892990605
2022-10-20,Damian Lillard,points,MockBooks,28.5,39.83216421811823
2022-10-20,Damian Lillard,rebounds,MockBooks,5.5,0.0
2022-10-20,Giannis Antetokounmpo,assists,MockBooks,7.5,8.69400687899695
2022-10-20,Giannis Antetokounmpo,points,MockBooks,16.0,23.735932547146646
2022-10-20,Giannis Antetokounmpo,rebounds,MockBooks,9.5,7.144199240784619
2022-10-20,Jayson Tatum,assists,MockBooks,10.0,7.895552210205365
2022-10-20,Jayson Tatum,points,MockBooks,26.5,29.623785471719927
2022-10-20,Jayson Tatum,rebounds,MockBooks,6.0,5.669614437606864
2022-10-20,Joel Embiid,assists,MockBooks,6.0,2.040084203367422
2022-10-20,Joel Embiid,points,MockBooks,22.0,20.501628033438102
2022-10-20,Joel Embiid,rebounds,MockBooks,11.0,15.911741586121568
2022-10-20,Kawhi Leonard,assists,MockBooks,6.5,5.4625355150150785
2022-10-20,Kawhi Leonard,points,MockBooks,18.0,19.283141974931578
2022-10-20,Kawhi Leonard,rebounds,MockBooks,10.0,16.16987301125936
2022-10-20,Kevin Durant,assists,MockBooks,5.5,4.8185799553612005
2022-10-20,Kevin Durant,points,MockBooks,22.0,33.99527617650385
2022-10-20,Kevin Durant,rebounds,MockBooks,5.0,13.444112663715327
2022-10-20,Kyrie Irving,assists,MockBooks,8.5,9.292550155013096
2022-10-20,Kyrie Irving,points,MockBooks,19.5,13.791009501294225
2022-10-20,Kyrie Irving,rebounds,MockBooks,10.5,8.20779253165021
2022-10-20,LeBron James,assists,MockBooks,6.5,0.0
